"home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","home_captain","away_manager","away_captain","home_goals","away_goals","Attendance","Venue","Officials","Date","Score","Referee","Notes","Round","Host","Year"
"Italy","West Germany",4,NA,NA,3,NA,NA,"Ferruccio Valcareggi","Giacinto Facchetti","Helmut Schoen","Uwe Seeler","Roberto Boninsegna · 8|Tarcisio Burgnich · 98|Luigi Riva · 104|Gianni Rivera · 111","Karl-Heinz Schnellinger · 90|Gerd Müller · 94|Gerd Müller · 110",102444,"Estadio Azteca, Mexico City","Arturo Yamasaki Maldonado (Referee) · Rafael Hormazabal Diaz (AR1) · Guillermo Velasquez (AR2)",1970-06-17,"4–3","Arturo Yamasaki Maldonado","Required Extra Time","Semi-finals","Mexico",1970
"Brazil","Uruguay",3,NA,NA,1,NA,NA,"Mario Zagallo","Carlos Alberto Torres","Juan Hohberg","Luis Ubiña","Clodoaldo · 44|Jairzinho · 76|Rivellino · 89","Luis Cubilla · 19",51261,"Jalisco, Guadalajara","Jose Maria Ortiz De Mendibil (Referee) · Tofik Bakhramov (AR1) · Ferdinand Marschall (AR2)",1970-06-17,"3–1","Jose Maria Ortiz De Mendibil",NA,"Semi-finals","Mexico",1970
"Brazil","Peru",4,NA,NA,2,NA,NA,"Mario Zagallo","Carlos Alberto Torres","Didi","Héctor Chumpitaz","Rivellino · 11|Tostão · 15|Tostão · 52|Jairzinho · 75","Alberto Gallardo · 28|Teófilo Cubillas · 70",54233,"Jalisco, Guadalajara","Vital Loraux (Referee) · Ferdinand Marschall (AR1) · Gyula Emsberger (AR2)",1970-06-14,"4–2","Vital Loraux",NA,"Quarter-finals","Mexico",1970
"Italy","Mexico",4,NA,NA,1,NA,NA,"Ferruccio Valcareggi","Giacinto Facchetti","Raul Cardenas","Gustavo Peña","Javier Guzmán (OG) · 25|Luigi Riva · 63|Gianni Rivera · 70|Luigi Riva · 76","José Luis González Dávila · 13",26851,"Luis Dosal, Toluca","Ruedi Scheurer (Referee) · Keith Dunstan (AR1) · Henry Landauer (AR2)",1970-06-14,"4–1","Ruedi Scheurer",NA,"Quarter-finals","Mexico",1970
"Uruguay","Soviet Union",1,NA,NA,0,NA,NA,"Juan Hohberg","Luis Ubiña","Gavril Kachalin","Albert Shesternyov","Víctor Espárrago · 117",NA,26085,"Estadio Azteca, Mexico City","Laurens Van Ravens (Referee) · Bob Davidson (AR1) · Rudolf Gloeckner (AR2)",1970-06-14,"1–0","Laurens Van Ravens","Required Extra Time","Quarter-finals","Mexico",1970
"West Germany","England",3,NA,NA,2,NA,NA,"Helmut Schoen","Uwe Seeler","Alf Ramsey","Bobby Moore","Franz Beckenbauer · 68|Uwe Seeler · 82|Gerd Müller · 108","Alan Mullery · 31|Martin Peters · 49",23357,"Nou Camp - Estadio Leï¿½n, Leon","Norberto Angel Coerezza (Referee) · Guillermo Velasquez (AR1) · Jose Maria Ortiz De Mendibil (AR2)",1970-06-14,"3–2","Norberto Angel Coerezza","Required Extra Time","Quarter-finals","Mexico",1970
"Mexico","Belgium",1,NA,NA,0,NA,NA,"Raul Cardenas","Gustavo Peña","Raymond Goethals","Paul Van Himst","Gustavo Peña (P) · 14",NA,108192,"Estadio Azteca, Mexico City","Norberto Angel Coerezza (Referee) · Henry Landauer (AR1) · Rafael Hormazabal Diaz (AR2)",1970-06-11,"1–0","Norberto Angel Coerezza",NA,"Group stage","Mexico",1970
"Italy","Israel",0,NA,NA,0,NA,NA,"Ferruccio Valcareggi","Giacinto Facchetti","Emmanuel Sheffer","Mordechai Spiegler",NA,NA,9890,"Luis Dosal, Toluca","Ayrton Vieira De Moraes (Referee) · Seyoum Tarekegn (AR1) · Kurt Tschenscher (AR2)",1970-06-11,"0–0","Ayrton Vieira De Moraes",NA,"Group stage","Mexico",1970
"Bulgaria","Morocco",1,NA,NA,1,NA,NA,"Stefan Bozhkov","Aleksandar Shalamanov","Blagoje Vidinic","Driss Bamous","Dobromir Zhechev · 40","Maouhoub Ghazouani · 61",12299,"Nou Camp - Estadio Leï¿½n, Leon","Antonio Saldanha Ribeiro (Referee) · Tofik Bakhramov (AR1) · Laurens Van Ravens (AR2)",1970-06-11,"1–1","Antonio Saldanha Ribeiro",NA,"Group stage","Mexico",1970
"England","Czechoslovakia",1,NA,NA,0,NA,NA,"Alf Ramsey","Bobby Moore","Jozef Marko","Ivo Viktor","Allan Clarke (P) · 50",NA,49292,"Jalisco, Guadalajara","Roger Machin (Referee) · Gyula Emsberger (AR1) · Ferdinand Marschall (AR2)",1970-06-11,"1–0","Roger Machin",NA,"Group stage","Mexico",1970
