"home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","home_captain","away_manager","away_captain","home_goals","away_goals","Attendance","Venue","Officials","Date","Score","Referee","Notes","Round","Host","Year"
"Netherlands","Austria",5,NA,NA,1,NA,NA,"Ernst Happel","Ruud Krol","Helmut Senekowitsch","Robert Sara","Ernie Brandts · 6|Rob Rensenbrink (P) · 35|Johnny Rep · 36|Johnny Rep · 53|Willy van de Kerkhof · 82","Erich Obermayer · 79",25050,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","John Gordon (Referee) · Arturo Andres Ithurralde (AR1) · Farouk Bouzo (AR2)",1978-06-14,"5–1","John Gordon",NA,"Second round","Argentina",1978
"West Germany","Italy",0,NA,NA,0,NA,NA,"Helmut Schoen","Berti Vogts","Enzo Bearzot","Dino Zoff",NA,NA,67547,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Dusan Maksimovic (Referee) · Alfonso Gonzalez Archundia (AR1) · Miguel Comesana (AR2)",1978-06-14,"0–0","Dusan Maksimovic",NA,"Second round","Argentina",1978
"Brazil","Peru",3,NA,NA,0,NA,NA,"Claudio Coutinho","Émerson Leão","Marcos Calderon","Héctor Chumpitaz","Dirceu · 15|Dirceu · 28|Zico (P) · 73",NA,31278,"San Martin, Mendoza","Nicolae Rainea (Referee) · Jean Dubach (AR1) · Werner Winsemann (AR2)",1978-06-14,"3–0","Nicolae Rainea",NA,"Second round","Argentina",1978
"Argentina","Poland",2,NA,NA,0,NA,NA,"Cesar Luis Menotti","Daniel Passarella","Jacek Gmoch","Kazimierz Deyna","Mario Kempes · 16|Mario Kempes · 71",NA,37091,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario","Ulf Eriksson (Referee) · Jafar Namdar (AR1) · Tesfaye Gebreyesus Difue (AR2)",1978-06-14,"2–0","Ulf Eriksson",NA,"Second round","Argentina",1978
"Brazil","Austria",1,NA,NA,0,NA,NA,"Claudio Coutinho","Émerson Leão","Helmut Senekowitsch","Robert Sara","Roberto Dinamite · 40",NA,35221,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata","Robert Wurtz (Referee) · Farouk Bouzo (AR1) · Tesfaye Gebreyesus Difue (AR2)",1978-06-11,"1–0","Robert Wurtz",NA,"First round","Argentina",1978
"Spain","Sweden",1,NA,NA,0,NA,NA,"Ladislao Kubala","Juan Manuel Asensi","Georg Ericson","Björn Nordqvist","Juan Manuel Asensi · 75",NA,42132,"Jose Amalfitani, Buenos Aires","Ferdinand Biwersi (Referee) · Arturo Andres Ithurralde (AR1) · Adolf Prokop (AR2)",1978-06-11,"1–0","Ferdinand Biwersi",NA,"First round","Argentina",1978
"Peru","IR Iran",4,NA,NA,1,NA,NA,"Marcos Calderon","Héctor Chumpitaz","Heshmat Mohadjerani","Ali Parvin","José Velásquez · 2|Teófilo Cubillas (P) · 36|Teófilo Cubillas (P) · 39|Teófilo Cubillas · 79","Hassan Rowshan · 41",21262,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","Alojzy Jarguz (Referee) · Dusan Maksimovic (AR1) · Werner Winsemann (AR2)",1978-06-11,"4–1","Alojzy Jarguz",NA,"First round","Argentina",1978
"Scotland","Netherlands",3,NA,NA,2,NA,NA,"Alistair Macleod","Bruce Rioch","Ernst Happel","Ruud Krol","Kenny Dalglish · 44|Archie Gemmill (P) · 47|Archie Gemmill · 68","Rob Rensenbrink (P) · 34|Johnny Rep · 71",35130,"San Martin, Mendoza","Erich Linemayr (Referee) · Karoly Palotai (AR1) · Hedi Seoudi (AR2)",1978-06-11,"3–2","Erich Linemayr",NA,"First round","Argentina",1978
"France","Hungary",3,NA,NA,1,NA,NA,"Michel Hidalgo","Marius Trésor","Lajos Baroti","Zoltán Kereki","Christian Lopez · 22|Marc Berdoll · 37|Dominique Rocheteau · 42","Sándor Zombori · 41",23127,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata","Arnaldo Coelho (Referee) · Pat Partridge (AR1) · Juan Silvagno Cavanna (AR2)",1978-06-10,"3–1","Arnaldo Coelho",NA,"First round","Argentina",1978
"Poland","Mexico",3,NA,NA,1,NA,NA,"Jacek Gmoch","Kazimierz Deyna","Jose Roca","Arturo Vázquez Ayala","Zbigniew Boniek · 43|Kazimierz Deyna · 56|Zbigniew Boniek · 84","Víctor Rangel · 52",22651,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario","Jafar Namdar (Referee) · Ulf Eriksson (AR1) · Charles Corver (AR2)",1978-06-10,"3–1","Jafar Namdar",NA,"First round","Argentina",1978
"West Germany","Tunisia",0,NA,NA,0,NA,NA,"Helmut Schoen","Berti Vogts","Abdelmajid Chetali","Témime Lahzami",NA,NA,30667,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","Cesar Orozco Guerrero (Referee) · Miguel Comesana (AR1) · Luis Pestarino (AR2)",1978-06-10,"0–0","Cesar Orozco Guerrero",NA,"First round","Argentina",1978
"Italy","Argentina",1,NA,NA,0,NA,NA,"Enzo Bearzot","Dino Zoff","Cesar Luis Menotti","Daniel Passarella","Roberto Bettega · 67",NA,71712,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Abraham Klein (Referee) · Alfonso Gonzalez Archundia (AR1) · Francis Rion (AR2)",1978-06-10,"1–0","Abraham Klein",NA,"First round","Argentina",1978
"Austria","Sweden",1,NA,NA,0,NA,NA,"Helmut Senekowitsch","Robert Sara","Georg Ericson","Björn Nordqvist","Hans Krankl (P) · 42",NA,41424,"Jose Amalfitani, Buenos Aires","Charles Corver (Referee) · Dusan Maksimovic (AR1) · Hedi Seoudi (AR2)",1978-06-07,"1–0","Charles Corver",NA,"First round","Argentina",1978
"Brazil","Spain",0,NA,NA,0,NA,NA,"Claudio Coutinho","Émerson Leão","Ladislao Kubala","Juan Manuel Asensi",NA,NA,34771,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata","Sergio Gonella (Referee) · Abraham Klein (AR1) · Arturo Andres Ithurralde (AR2)",1978-06-07,"0–0","Sergio Gonella",NA,"First round","Argentina",1978
"Netherlands","Peru",0,NA,NA,0,NA,NA,"Ernst Happel","Ruud Krol","Marcos Calderon","Héctor Chumpitaz",NA,NA,28125,"San Martin, Mendoza","Adolf Prokop (Referee) · Norberto Angel Coerezza (AR1) · Anatoly Ivanov (AR2)",1978-06-07,"0–0","Adolf Prokop",NA,"First round","Argentina",1978
"Scotland","IR Iran",1,NA,NA,1,NA,NA,"Alistair Macleod","Archie Gemmill","Heshmat Mohadjerani","Ali Parvin","Andranik Eskandarian (OG) · 43","Iraj Danaeifard · 60",7938,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","Youssou Ndiaye (Referee) · Nicolae Rainea (AR1) · Arnaldo Coelho (AR2)",1978-06-07,"1–1","Youssou Ndiaye",NA,"First round","Argentina",1978
"Italy","Hungary",3,NA,NA,1,NA,NA,"Enzo Bearzot","Dino Zoff","Lajos Baroti","Zoltán Kereki","Paolo Rossi · 34|Roberto Bettega · 36|Romeo Benetti · 60","András Tóth (P) · 81",26533,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata","Ramon Barreto Ruiz (Referee) · Ferdinand Biwersi (AR1) · John Gordon (AR2)",1978-06-06,"3–1","Ramon Barreto Ruiz",NA,"First round","Argentina",1978
"West Germany","Mexico",6,NA,NA,0,NA,NA,"Helmut Schoen","Berti Vogts","Jose Roca","Arturo Vázquez Ayala","Dieter Müller · 15|Hansi Müller · 30|Karl-Heinz Rummenigge · 38|Heinz Flohe · 44|Karl-Heinz Rummenigge · 73|Heinz Flohe · 89",NA,35258,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","Farouk Bouzo (Referee) · Antonio Garrido (AR1) · Francis Rion (AR2)",1978-06-06,"6–0","Farouk Bouzo",NA,"First round","Argentina",1978
"Poland","Tunisia",1,NA,NA,0,NA,NA,"Jacek Gmoch","Kazimierz Deyna","Abdelmajid Chetali","Témime Lahzami","Grzegorz Lato · 43",NA,9624,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario","Angel Martinez (Referee) · Luis Pestarino (AR1) · Clive Thomas (AR2)",1978-06-06,"1–0","Angel Martinez",NA,"First round","Argentina",1978
"Argentina","France",2,NA,NA,1,NA,NA,"Cesar Luis Menotti","Daniel Passarella","Michel Hidalgo","Marius Trésor","Daniel Passarella (P) · 45|Leopoldo Luque · 73","Michel Platini · 60",71666,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Jean Dubach (Referee) · Cesar Orozco Guerrero (AR1) · Werner Winsemann (AR2)",1978-06-06,"2–1","Jean Dubach",NA,"First round","Argentina",1978
"Sweden","Brazil",1,NA,NA,1,NA,NA,"Georg Ericson","Björn Nordqvist","Claudio Coutinho","Rivellino","Thomas Sjöberg · 37","José Reinaldo de Lima · 45",32569,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata","Clive Thomas (Referee) · Alojzy Jarguz (AR1) · Jafar Namdar (AR2)",1978-06-03,"1–1","Clive Thomas",NA,"First round","Argentina",1978
"Austria","Spain",2,NA,NA,1,NA,NA,"Helmut Senekowitsch","Robert Sara","Ladislao Kubala","Pirri","Walter Schachner · 9|Hans Krankl · 76","Daniel Ruiz · 21",40841,"Jose Amalfitani, Buenos Aires","Karoly Palotai (Referee) · Ramon Barreto Ruiz (AR1) · Anatoly Ivanov (AR2)",1978-06-03,"2–1","Karoly Palotai",NA,"First round","Argentina",1978
"Peru","Scotland",3,NA,NA,1,NA,NA,"Marcos Calderon","Héctor Chumpitaz","Alistair Macleod","Bruce Rioch","César Cueto · 43|Teófilo Cubillas · 71|Teófilo Cubillas · 77","Joe Jordan · 14",37927,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","Ulf Eriksson (Referee) · Tesfaye Gebreyesus Difue (AR1) · Angel Martinez (AR2)",1978-06-03,"3–1","Ulf Eriksson",NA,"First round","Argentina",1978
"Netherlands","IR Iran",3,NA,NA,0,NA,NA,"Ernst Happel","Ruud Krol","Heshmat Mohadjerani","Ali Parvin","Rob Rensenbrink (P) · 40|Rob Rensenbrink · 62|Rob Rensenbrink (P) · 79",NA,33431,"San Martin, Mendoza","Alfonso Gonzalez Archundia (Referee) · Robert Wurtz (AR1) · Miguel Comesana (AR2)",1978-06-03,"3–0","Alfonso Gonzalez Archundia",NA,"First round","Argentina",1978
"Italy","France",2,NA,NA,1,NA,NA,"Enzo Bearzot","Dino Zoff","Michel Hidalgo","Marius Trésor","Paolo Rossi · 29|Renato Zaccarelli · 54","Bernard Lacombe · 1",42373,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata","Nicolae Rainea (Referee) · Erich Linemayr (AR1) · Juan Silvagno Cavanna (AR2)",1978-06-02,"2–1","Nicolae Rainea",NA,"First round","Argentina",1978
"Tunisia","Mexico",3,NA,NA,1,NA,NA,"Abdelmajid Chetali","Témime Lahzami","Jose Roca","Arturo Vázquez Ayala","Ali Kaabi · 55|Néjib Ghommidh · 79|Mokhtar Dhouieb · 87","Arturo Vázquez Ayala (P) · 45",17396,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario","John Gordon (Referee) · Jean Dubach (AR1) · Sergio Gonella (AR2)",1978-06-02,"3–1","John Gordon",NA,"First round","Argentina",1978
"Argentina","Hungary",2,NA,NA,1,NA,NA,"Cesar Luis Menotti","Daniel Passarella","Lajos Baroti","Zoltán Kereki","Leopoldo Luque · 15|Daniel Bertoni · 83","Károly Csapó · 10|András Törőcsik · 88|Tibor Nyilasi · 89",71615,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Antonio Garrido (Referee) · Youssou Ndiaye (AR1) · Pat Partridge (AR2)",1978-06-02,"2–1","Antonio Garrido",NA,"First round","Argentina",1978
"West Germany","Poland",0,NA,NA,0,NA,NA,"Helmut Schoen","Berti Vogts","Jacek Gmoch","Kazimierz Deyna",NA,NA,67579,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Norberto Angel Coerezza (Referee) · Arturo Andres Ithurralde (AR1) · Miguel Comesana (AR2)",1978-06-01,"0–0","Norberto Angel Coerezza",NA,"First round","Argentina",1978
"Netherlands","West Germany",1,NA,NA,2,NA,NA,"Rinus Michels","Johan Cruyff","Helmut Schoen","Franz Beckenbauer","Johan Neeskens (P) · 2","Paul Breitner (P) · 25|Gerd Müller · 43",78200,"Olympiastadion, Munich","John Taylor (Referee) · Alfonso Gonzalez Archundia (AR1) · Ramon Barreto Ruiz (AR2)",1974-07-07,"1–2","John Taylor",NA,"Final","Germany",1974
"Brazil","Poland",0,NA,NA,1,NA,NA,"Mario Zagallo","Marinho Peres","Kazimierz Gorski","Kazimierz Deyna",NA,"Grzegorz Lato · 76",77100,"Olympiastadion, Munich","Aurelio Angonese (Referee) · Jafar Namdar (AR1) · Birame Ndiaye (AR2)",1974-07-06,"0–1","Aurelio Angonese",NA,"Third-place match","Germany",1974
"Poland","West Germany",0,NA,NA,1,NA,NA,"Kazimierz Gorski","Kazimierz Deyna","Helmut Schoen","Franz Beckenbauer",NA,"Gerd Müller · 76",62000,"Waldstadion, Frankfurt/Main","Erich Linemayr (Referee) · Karoly Palotai (AR1) · Ruedi Scheurer (AR2)",1974-07-03,"0–1","Erich Linemayr",NA,"Second round","Germany",1974
"Netherlands","Brazil",2,NA,NA,0,NA,NA,"Rinus Michels","Johan Cruyff","Mario Zagallo","Marinho Peres","Johan Neeskens · 50|Johan Cruyff · 65","Luís Pereira · 84",53700,"Westfalenstadion, Dortmund","Kurt Tschenscher (Referee) · Bob Davidson (AR1) · George Suppiah (AR2)",1974-07-03,"2–0","Kurt Tschenscher",NA,"Second round","Germany",1974
"Argentina","Germany DR",1,NA,NA,1,NA,NA,"Vladislao Cap","Enrique Wolff","Georg Buschner","Bernd Bransch","René Houseman · 20","Joachim Streich · 14",54254,"Parkstadion, Gelsenkirchen","John Taylor (Referee) · Mahmoud Kamel (AR1) · Clive Thomas (AR2)",1974-07-03,"1–1","John Taylor",NA,"Second round","Germany",1974
"Sweden","Yugoslavia",2,NA,NA,1,NA,NA,"Georg Ericson","Björn Nordqvist","Miljan Miljanic","Dragan Džajić","Ralf Edström · 29|Conny Torstensson · 85","Ivica Šurjak · 27",41300,"Rheinstadion, Dï¿½Sseldorf","Luis Pestarino (Referee) · Ramon Barreto Ruiz (AR1) · Vicente Llobregat (AR2)",1974-07-03,"2–1","Luis Pestarino",NA,"Second round","Germany",1974
"Poland","Yugoslavia",2,NA,NA,1,NA,NA,"Kazimierz Gorski","Kazimierz Deyna","Miljan Miljanic","Jovan Aćimović","Kazimierz Deyna (P) · 24|Grzegorz Lato · 62","Stanislav Karasi · 43",58000,"Waldstadion, Frankfurt/Main","Rudolf Gloeckner (Referee) · Armando Marques (AR1) · Werner Winsemann (AR2)",1974-06-30,"2–1","Rudolf Gloeckner",NA,"Second round","Germany",1974
"Argentina","Brazil",1,NA,NA,2,NA,NA,"Vladislao Cap","Miguel Ángel Brindisi","Mario Zagallo","Marinho Peres","Miguel Ángel Brindisi · 35","Rivellino · 32|Jairzinho · 49",39400,"Niedersachsenstadion, Hanover","Vital Loraux (Referee) · Birame Ndiaye (AR1) · John Taylor (AR2)",1974-06-30,"1–2","Vital Loraux",NA,"Second round","Germany",1974
"Germany DR","Netherlands",0,NA,NA,2,NA,NA,"Georg Buschner","Bernd Bransch","Rinus Michels","Johan Cruyff",NA,"Johan Neeskens · 7|Rob Rensenbrink · 59",68348,"Parkstadion, Gelsenkirchen","Ruedi Scheurer (Referee) · Erich Linemayr (AR1) · Omar Delgado (AR2)",1974-06-30,"0–2","Ruedi Scheurer",NA,"Second round","Germany",1974
"West Germany","Sweden",4,NA,NA,2,NA,NA,"Helmut Schoen","Franz Beckenbauer","Georg Ericson","Bo Larsson","Wolfgang Overath · 51|Rainer Bonhof · 52|Jürgen Grabowski · 76|Uli Hoeneß (P) · 89","Ralf Edström · 24|Roland Sandberg · 53",67800,"Rheinstadion, Dï¿½Sseldorf","Pavel Kazakov (Referee) · Nicolae Rainea (AR1) · Pablo Sanchez Ibanez (AR2)",1974-06-30,"4–2","Pavel Kazakov",NA,"Second round","Germany",1974
"Yugoslavia","West Germany",0,NA,NA,2,NA,NA,"Miljan Miljanic","Dragan Džajić","Helmut Schoen","Franz Beckenbauer",NA,"Paul Breitner · 39|Gerd Müller · 82",67385,"Rheinstadion, Dï¿½Sseldorf","Armando Marques (Referee) · Aurelio Angonese (AR1) · Edison A. Perez Nunez (AR2)",1974-06-26,"0–2","Armando Marques",NA,"Second round","Germany",1974
"Brazil","Germany DR",1,NA,NA,0,NA,NA,"Mario Zagallo","Marinho Peres","Georg Buschner","Bernd Bransch","Rivellino · 60",NA,59863,"Niedersachsenstadion, Hanover","Clive Thomas (Referee) · Dogan Babacan (AR1) · Tony Boskovic (AR2)",1974-06-26,"1–0","Clive Thomas",NA,"Second round","Germany",1974
"Sweden","Poland",0,NA,NA,1,NA,NA,"Georg Ericson","Bo Larsson","Kazimierz Gorski","Kazimierz Deyna",NA,"Grzegorz Lato · 43",44955,"Neckarstadion, Stuttgart","Ramon Barreto Ruiz (Referee) · Alfonso Gonzalez Archundia (AR1) · Luis Pestarino (AR2)",1974-06-26,"0–1","Ramon Barreto Ruiz",NA,"Second round","Germany",1974
"Netherlands","Argentina",4,NA,NA,0,NA,NA,"Rinus Michels","Johan Cruyff","Vladislao Cap","Roberto Perfumo","Johan Cruyff · 10|Ruud Krol · 25|Johnny Rep · 73|Johan Cruyff · 90",NA,56548,"Parkstadion, Gelsenkirchen","Bob Davidson (Referee) · Kurt Tschenscher (AR1) · Pavel Kazakov (AR2)",1974-06-26,"4–0","Bob Davidson",NA,"Second round","Germany",1974
"Bulgaria","Netherlands",1,NA,NA,4,NA,NA,"Hristo Mladenov","Hristo Bonev","Rinus Michels","Johan Cruyff","Ruud Krol (OG) · 78","Johan Neeskens (P) · 5|Johan Neeskens (P) · 45|Johnny Rep · 71|Theo de Jong · 88",53300,"Westfalenstadion, Dortmund","Tony Boskovic (Referee) · Ferdinand Biwersi (AR1) · Walter Eschweiler (AR2)",1974-06-23,"1–4","Tony Boskovic",NA,"First round","Germany",1974
"Poland","Italy",2,NA,NA,1,NA,NA,"Kazimierz Gorski","Kazimierz Deyna","Ferruccio Valcareggi","Giacinto Facchetti","Andrzej Szarmach · 38|Kazimierz Deyna · 44","Fabio Capello · 85",70100,"Neckarstadion, Stuttgart","Hans Joachim Weyland (Referee) · Werner Winsemann (AR1) · Gerhard Schulenburg (AR2)",1974-06-23,"2–1","Hans Joachim Weyland",NA,"First round","Germany",1974
"Sweden","Uruguay",3,NA,NA,0,NA,NA,"Georg Ericson","Bo Larsson","Roberto Porta","Ladislao Mazurkiewicz","Ralf Edström · 46|Roland Sandberg · 74|Ralf Edström · 77",NA,28300,"Rheinstadion, Dï¿½Sseldorf","Erich Linemayr (Referee) · Vicente Llobregat (AR1) · Heinz Aldinger (AR2)",1974-06-23,"3–0","Erich Linemayr",NA,"First round","Germany",1974
"Argentina","Haiti",4,NA,NA,1,NA,NA,"Vladislao Cap","Roberto Perfumo","Antoine Tassy","Wilner Nazaire","Héctor Yazalde · 15|René Houseman · 18|Rubén Ayala · 55|Héctor Yazalde · 68","Emmanuel Sanon · 63",25900,"Olympiastadion, Munich","Pablo Sanchez Ibanez (Referee) · Mahmoud Kamel (AR1) · Birame Ndiaye (AR2)",1974-06-23,"4–1","Pablo Sanchez Ibanez",NA,"First round","Germany",1974
"Scotland","Yugoslavia",1,NA,NA,1,NA,NA,"Willie Ormond","Billy Bremner","Miljan Miljanic","Dragan Džajić","Joe Jordan · 88","Stanislav Karasi · 81",56000,"Waldstadion, Frankfurt/Main","Alfonso Gonzalez Archundia (Referee) · Rudolf Gloeckner (AR1) · Kurt Tschenscher (AR2)",1974-06-22,"1–1","Alfonso Gonzalez Archundia",NA,"First round","Germany",1974
"Australia","Chile",0,NA,NA,0,NA,NA,"Rale Rasic","Peter Wilson","Luis Alamos","Francisco Valdés","Ray Richards · 83",NA,17400,"Olympiastadion, Berlin West","Jafar Namdar (Referee) · Vital Loraux (AR1) · Arie Van Gemert (AR2)",1974-06-22,"0–0","Jafar Namdar",NA,"First round","Germany",1974
"Zaire","Brazil",0,NA,NA,3,NA,NA,"Blagoje Vidinic","Kidumu Mantantu","Mario Zagallo","Wilson da Silva Piazza",NA,"Jairzinho · 12|Rivellino · 66|Valdomiro Vaz Franco · 79",36200,"Parkstadion, Gelsenkirchen","Nicolae Rainea (Referee) · Aurelio Angonese (AR1) · Klaus Ohmsen (AR2)",1974-06-22,"0–3","Nicolae Rainea",NA,"First round","Germany",1974
"Germany DR","West Germany",1,NA,NA,0,NA,NA,"Georg Buschner","Bernd Bransch","Helmut Schoen","Franz Beckenbauer","Jürgen Sparwasser · 77",NA,60200,"Volksparkstadion, Hamburg","Ramon Barreto Ruiz (Referee) · Armando Marques (AR1) · Luis Pestarino (AR2)",1974-06-22,"1–0","Ramon Barreto Ruiz",NA,"First round","Germany",1974
"Haiti","Poland",0,NA,NA,7,NA,NA,"Antoine Tassy","Wilner Nazaire","Kazimierz Gorski","Kazimierz Deyna",NA,"Grzegorz Lato · 17|Kazimierz Deyna · 18|Andrzej Szarmach · 30|Jerzy Gorgoń · 31|Andrzej Szarmach · 34|Andrzej Szarmach · 50|Grzegorz Lato · 87",25300,"Olympiastadion, Munich","George Suppiah (Referee) · Ferdinand Biwersi (AR1) · Walter Eschweiler (AR2)",1974-06-19,"0–7","George Suppiah",NA,"First round","Germany",1974
"Bulgaria","Uruguay",1,NA,NA,1,NA,NA,"Hristo Mladenov","Hristo Bonev","Roberto Porta","Ladislao Mazurkiewicz","Hristo Bonev · 75","Ricardo Pavoni · 87",13400,"Niedersachsenstadion, Hanover","John Taylor (Referee) · Dogan Babacan (AR1) · Klaus Ohmsen (AR2)",1974-06-19,"1–1","John Taylor",NA,"First round","Germany",1974
"Netherlands","Sweden",0,NA,NA,0,NA,NA,"Rinus Michels","Johan Cruyff","Georg Ericson","Bo Larsson",NA,NA,53700,"Westfalenstadion, Dortmund","Werner Winsemann (Referee) · Kurt Tschenscher (AR1) · Clive Thomas (AR2)",1974-06-19,"0–0","Werner Winsemann",NA,"First round","Germany",1974
"Argentina","Italy",1,NA,NA,1,NA,NA,"Vladislao Cap","Roberto Perfumo","Ferruccio Valcareggi","Giacinto Facchetti","René Houseman · 19","Roberto Perfumo (OG) · 35",70100,"Neckarstadion, Stuttgart","Pavel Kazakov (Referee) · Rudolf Gloeckner (AR1) · Nicolae Rainea (AR2)",1974-06-19,"1–1","Pavel Kazakov",NA,"First round","Germany",1974
